"PARK_ID","TYPE","SUMMER_USE","LIGHTS","NAME","ADDRESS"
"795","Highboard with puddle","other","permanent","BRIARGREEN PARK","9 PARKFIELD CRES Nepean"
"797","Double Surface(no boards)","","","WHITEHAVEN / GEORGE C. BROWN PARK","970 PARKHAVEN AVE Old Ottawa"
"759","Puddle rink (end boards)","other","permanent","PALMERSTON PARK","1326 OGILVIE RD Gloucester"
"213","Highboard","other","permanent","CEDARCROFT PARK","1200 CEDARCROFT CRES Gloucester"
"613","Puddle rink","","","LEXINGTON PARK","1404 LEXINGTON ST Old Ottawa"
"1186","Puddle rink","","permanent","WINDSOR PARK OTTAWA","1 WINDSOR AVE Old Ottawa"
"23","Puddle rink","","","DALE PARK","1590 ALTA VISTA DR Old Ottawa"
"839","Highboard with puddle","","","PRESLAND PARK","368 PRESLAND RD Old Ottawa"
"132","Highboard with puddle","","permanent","MANOR PARK","100 BRAEMAR ST Old Ottawa"
"374","Highboard","other","permanent","CYPRESS GARDENS PARK","33 ELM CRES Goulbourn"
"812","Highboard with puddle","other","permanent","MCNABB PARK","435 BRONSON AVE Old Ottawa"
"16","Puddle rink","","","EMERALD WOODS PARK","3795 ALDERWOOD ST Gloucester"
"10","Puddle rink (end boards)","","","ALADDIN PARK","3939 ALBION RD Gloucester"
"964","Puddle rink (end boards)","","permanent","SIEVERIGHT PARK","2999 SABLE RIDGE DR Gloucester"
"122","Highboard with puddle","","","CALZAVARA FAMILY PARK","1602 BLOHM DR Old Ottawa"
"245","Highboard with puddle","other","permanent","JULES MORIN PARK / ANGLESEA PARK","400 CLARENCE ST Old Ottawa"
"484","Puddle rink","","","KEMP PARK","11 ROBERT KEMP"
"942","Puddle rink","","","LINDENLEA PARK","15 ROCKCLIFFE WAY Old Ottawa"
"852","Highboard with puddle","","permanent","ROCKCLIFFE PARK PUBLIC SCHOOL SPORTS FIELD","350 SPRINGFIELD RD Rockcliffe Park"
"674","Puddle rink","","","WHITEROCK PARK","1245 MATHESON RD Gloucester"
"1330","Puddle rink","","","ISAIE SAVAGE PARK","114 SAPHIR AVE Cumberland"
"225","Highboard","","","CHANONHOUSE PARK","28 CHANONHOUSE DR Goulbourn"
"1331","Highboard","","","GREELY WEST PARK","6485 GREELY WEST DR Osgoode"
"1213","Highboard","ball hockey","permanent","KENMORE BALL PARK","3151 YORKS CORNERS RD Osgoode"
"112","Puddle rink","","","BILLY BISHOP PARK","1 BISHOPS MILLS DR Kanata"
"990","Highboard with puddle","","","WINDSOR PARK GLOUCESTER","3560 WYMAN PL Gloucester"
"47","Puddle rink","","","BADEN PARK","3900 AUTUMNWOOD ST Gloucester"
"1111","Puddle rink (end boards)","","","TRAPPERS PARK","3580 TRAPPER'S RD Gloucester"
"877","Highboard","other","permanent","RALPH STREET PARK","12 RALPHPARK ST Goulbourn"
"691","Highboard","","permanent","GEORGE MCLEAN PARK","5348 MCLEAN CRES Rideau"
"711","Highboard with puddle","","","MICHELE PARK","2955 MICHELE DR Old Ottawa"
"1001","Puddle rink","","","FOUR SEASONS PARK","4386 SPRATT RD Gloucester"
"201","Highboard with puddle","","","WHALEN PARK","4111 KANATA AVE Kanata"
"1069","Puddle rink","","","STONEMEADOW PARK","56 STONEMEADOW DR Kanata"
"20","Highboard","other","permanent","BRYANSTON GATE PARK","23 ALON ST Goulbourn"
"80","Highboard","other","","KLONDIKE ROAD PARK (MORGAN'S GRANT)","1365 HALTON TER Kanata"
"73","Double Surface(no boards)","","","BATHGATE PARK","724 BATHGATE DR Old Ottawa"
"384","Highboard with puddle","","","FAIRLEA PARK","2989 FAIRLEA CRES Old Ottawa"
"543","Double Surface(lowboards)","","","KALADAR PARK","2554 KALADAR AVE Old Ottawa"
"496","Puddle rink","","","NEILL NESBITT PARK (FOXFIELD)","70 FOXFIELD DR Nepean"
"569","Highboard with puddle","basketball","permanent","MANORDALE PARK","60 KNOXDALE RD Nepean"
"988","Highboard","","permanent","WESTCLIFFE PARK","681 SEYTON DR Nepean"
"31","Highboard with puddle","","","CARLETON HEIGHTS PARK","1665 APELDOORN AVE Old Ottawa"
"1190","Highboard","","permanent","TANGLEWOOD PARK","30 WOODFIELD DR Nepean"
"134","Highboard with puddle","other","permanent","BREWER PARK","100 BREWER WAY Old Ottawa"
"618","Double Surface(no boards)","other","permanent","LISA PARK","6 LISA AVE Old Ottawa"
"105","Puddle rink","other","permanent","MERIVALE GARDENS PARK","25 BIE ST Nepean"
"397","Highboard","","permanent","WEYBRIDGE PARK","75 FLANDERS ST Nepean"
"582","Highboard","","permanent","LARKIN PARK","76 LARKIN DR Nepean"
"1022","Double Surface(no boards)","other","permanent","KILREEN PARK","1250 SOUTHWOOD DR Old Ottawa"
"104","Lowboard and puddle","","","BEL-AIR PARK","2149 BERWICK AVE Old Ottawa"
"566","Highboard with puddle","","","PARKWAY PARK","2095 KINGSLEY RD Old Ottawa"
"234","Highboard with puddle","other","permanent","GENERAL BURNS PARK","107 CHESTERTON DR Nepean"
"728","Highboard with puddle","other","permanent","MORRISON PARK","1095 MORRISON DR Old Ottawa"
"92","Highboard with puddle","","","EV TREMBLAY PARK","108 BEECH ST Old Ottawa"
"1113","Double Surface(no boards)","","","MEADOWVALE TERRACE PARK","1205 TRENTON AVE Old Ottawa"
"621","Highboard with puddle","","","WOODROFFE PARK","180 LOCKHART AVE Old Ottawa"
"102","Lowboard and puddle","","","KINGSMERE PARK","2074 BENJAMIN AVE Old Ottawa"
"7","Highboard with puddle","","","AGINCOURT PARK","1269 ALBANY DR Old Ottawa"
"338","Highboard with puddle","","","WESTBORO KIWANIS PARK","411 DOVERCOURT AVE Old Ottawa"
"432","Double Surface(no boards)","","permanent","GLEBE MEMORIAL PARK","75 GLENDALE AVE Old Ottawa"
"130","Highboard with puddle","","","OWL PARK","180 BOURBON ST Old Ottawa"
"260","Double Surface(lowboards)","","","RIDGEMONT PARK","1990 COCHRANE ST Old Ottawa"
"808","Highboard with puddle","","","PUSHMAN PARK","1270 PEBBLE RD Old Ottawa"
"880","Double Surface(no boards)","","","ALTA VISTA PARK","1309 RANDALL AVE Old Ottawa"
"968","Highboard with puddle","","seasonal","SANDLEWOOD PARK","2850 SANDALWOOD DR Old Ottawa"
"403","Double Surface(no boards)","","","SHAREL PARK","1900 FLORIDA AVE Old Ottawa"
"466","Double Surface(no boards)","","permanent","PAULINE VANIER PARK","1015 HARKNESS AVE Old Ottawa"
"328","Double Surface(no boards)","","","BALENA PARK","1640 DEVON ST Old Ottawa"
"1021","Highboard with puddle","","permanent","SHEFFIELD GLEN PARK","2320 SOUTHVALE CRES Old Ottawa"
"832","Highboard with puddle","","","WESTON PARK","955 PLEASANT PARK RD Old Ottawa"
"831","Highboard with puddle","","","PLAYFAIR PARK","1801 PLAYFAIR DR Old Ottawa"
"363","Highboard with puddle","","","RIDEAUVIEW PARK","960 EIFFEL AVE Old Ottawa"
"479","Highboard with puddle","","","HERON PARK","999 HERON RD Old Ottawa"
"1090","Double Surface(no boards)","","permanent","HAWTHORNE PARK","2139 TAWNEY RD Old Ottawa"
"170","Highboard with puddle","","","CHAMPLAIN PARK","140 CARLETON AVE Old Ottawa"
"873","Highboard with puddle","","","OVERBROOK PARK","33 QUILL ST Old Ottawa"
"76","Highboard with puddle","other","permanent","LAROCHE PARK","52 BAYVIEW RD Old Ottawa"
"840","Highboard with puddle","","","PLOUFFE PARK","130 PRESTON ST Old Ottawa"
"1056","Double Surface(no boards)","","","NEW EDINBURGH PARK","193 STANLEY AVE Old Ottawa"
"1163","Double Surface(no boards)","","","MCKELLAR PARK","539 WAVELL AVE Old Ottawa"
"468","Double Surface(no boards)","","permanent","ARNOTT PARK","691 HARTMAN CRES Old Ottawa"
"734","Highboard with puddle","ball hockey","permanent","MUNSTER COMMUNITY CENTRE AND DOGWOOD PARK","2890 MUNSTER RD Goulbourn"
"22","Highboard with puddle","","","FRANK RYAN PARK","950 ALPINE AVE Old Ottawa"
"609","Double Surface(no boards)","","permanent","GEOFF WIGHTMAN PARK","89 LEOPOLDS DR Old Ottawa"
"339","Highboard","","permanent","MCKENDRY PARK","2567 DOW ST Osgoode"
"943","Highboard","","permanent","VARS CENTENIAL PARK / ALCIDE TRUDEAU PARK","5715 ROCKDALE RD Cumberland"
"48","Puddle rink","","permanent","CECIL MORRISON PARK","1332 AVENUE N  Old Ottawa"
"459","Highboard with puddle","other","permanent","RUTH WILDGEN PARK","1099 GRENON AVE Old Ottawa"
"335","Double Surface(no boards)","","","ST. PAUL'S PARK","469 DONALD STREET Old Ottawa"
"385","Highboard with puddle","other","permanent","FAIRMONT PARK","265 FAIRMONT AVE Old Ottawa"
"1171","Highboard with puddle","","permanent","KARS RECREATION CENTRE","1604 OLD WELLINGTON ST Rideau"
"495","Highboard with puddle","","permanent","FISHER PARK","250 HOLLAND AVE Old Ottawa"
"514","Highboard with puddle","basketball","permanent","BEARBROOK PARK AND POOL","99 BEARBROOK RD Gloucester"
"444","Highboard","other","permanent","BARRY MULLEN PARK","152 GRANDVIEW RD Nepean"
"1062","Highboard","","permanent","ROONEY PARK","15 STEEPLE HILL CRES Nepean"
"550","Puddle rink (end boards)","basketball","permanent","MARCHAND PARK","1163 KENASTON ST Gloucester"
"208","Highboard with puddle","","","BINGHAM PARK","145 CATHCART ST Old Ottawa"
"1334","Highboard","basketball","permanent","CONSTANCE BAY COMMUNITY CENTRE PARK","262 LEN PURCELL DR West Carleton"
"768","Highboard","basketball","permanent","CARROL HOMESTEAD COMMUNITY PARK/UPPER HUNTLEY COMMUNITY CENTRE","3447 OLD ALMONTE RD West Carleton"
"348","Highboard","","","WILFRED MURRAY PARK KENNEDY ARENA","1115 DUNNING RD Cumberland"
"267","Double Surface(endboards)","","","NAVAN CENTENNIAL PARK","1279 COLONIAL ROAD Cumberland"
"1032","Highboard","","","OPTIMISTE PARK","43 STE. CECILE ST Vanier"
"249","Double Surface(no boards)","other","permanent","BRANTWOOD PARK","120 CLEGG ST Old Ottawa"
"120","Highboard with puddle","","","ELIZABETH MANLEY PARK","1161 BLOHM DR Old Ottawa"
"219","Artificial Ice","other","permanent","BEN FRANKLIN PLACE","101 CENTREPOINTE DR Nepean"
"255","Double Surface(no boards)","","","BELLEVUE MANOR PARK / GYM COMPLEX","1520 CALDWELL AVE Old Ottawa"
"220","Lowboard and puddle","","","CENTREPOINTE PARK","114 CENTREPOINTE DR Nepean"
"231","Highboard","","","CHARING PARK","37 CHARTWELL AVE Nepean"
"241","Puddle rink","","","CITY CENTRE PARK","1800 CITY PARK DR Gloucester"
"584","Double Surface(no boards)","","","BELLEVUE RAVEN PARK","1500 LAROSE AVE Old Ottawa"
"300","Highboard","","","CUMMINGS PARK (GLOUCESTER)","980 CUMMINGS AVE Gloucester"
"305","Highboard","","","MEADOWBROOK PARK (RIDEAU)","2972 DANBURY WAY Rideau"
"330","Highboard with puddle","","","CENTENNIAL PARK","5572 DOCTOR LEACH DR Rideau"
"420","Highboard with puddle","","","GARDENWAY PARK","2001 GARDENWAY DR Cumberland"
"693","Highboard","","","GREELY (ANDY SHIELDS PARK)","1448 MEADOW DR Osgoode"
"526","Puddle rink","","","BARNABE PARK","1797 DES EPINETTES AVE Gloucester"
"596","Highboard with puddle","","","LEDBURY PARK","1250 LEDBURY AVE Old Ottawa"
"628","Highboard","","","SOUTH NEPEAN PARK","700 LONGFIELDS DR Nepean"
"1506","Highboard","","","CROSSING BRIDGE PARK","27 HOBIN STREET Goulbourn"
"1309","Puddle rink","","","NORTH VINEYARD PARK","6026 VOYAGEUR DR Gloucester"
"1070","Highboard","","","CLARKE FIELDS PARK","93 HOULAHAN ST Nepean"
"1046","Double Surface(no boards)","","permanent","RUSSELL HEIGHTS","1750 RUSSELL AVE Old Ottawa"
"675","Puddle rink (end boards)","","","CARSON GROVE PARK","1423 MATHESON RD Gloucester"
"695","Puddle rink","","","CYRVILLE PARK","1420 MEADOWBROOK RD Gloucester"
"729","Puddle rink","","","DOG BONE PARK","5 MORTON DR Kanata"
"749","Highboard with puddle","","","NORM CHILDS (NINTH LINE PARK AND CARLSBAD COMMUNITY CENTRE)","5065 NINTH LINE RD Gloucester"
"843","Highboard","","","KINSELLA PARK","1600 PRESTWICK DR Cumberland"
"1003","Highboard with puddle","","","ALEXANDER PARK","960 SILVER ST Old Ottawa"
"134","Oval","","","BREWER PARK","100 BREWER WAY Old Ottawa"
"1676","","basketball","shared","SCALA PARK","797 SCALA AVE Orleans"
